iter	Logloss
210	0.2963681842
211	0.2961861694
212	0.2959965465
213	0.2957856147
214	0.2956314127
215	0.2954210232
216	0.2952622863
217	0.2951798468
218	0.2947036456
219	0.2944888125
220	0.2943320267
221	0.2941009485
222	0.2938248797
223	0.2936296342
224	0.2933952127
225	0.2931455126
226	0.2930054235
227	0.2928734642
228	0.2928559137
229	0.2925875496
230	0.2924467485
231	0.292375872
232	0.2921683163
233	0.291995559
234	0.2918281349
235	0.2916981281
236	0.291136591
237	0.2908490073
238	0.2906985884
239	0.2904022287
240	0.2902188632
241	0.2901472944
242	0.2897638517
243	0.2895508359
244	0.2894206424
245	0.2891554637
246	0.2890884053
247	0.2889292408
248	0.2886930865
249	0.2885627469
250	0.2884990515
251	0.2881603821
252	0.2880127159
253	0.2878079084
254	0.2876469946
255	0.2871639438
256	0.2868963402
257	0.2867422992
258	0.2865510842
259	0.2864322595
260	0.2861638163
261	0.2859013914
262	0.2857382871
263	0.2855905664
264	0.28548557
265	0.2852235452
266	0.284995905
267	0.2848723902
268	0.2847385573
269	0.2846113889
270	0.2843685774
271	0.2842442199
272	0.2838584499
273	0.2836554293
274	0.2834260931
275	0.2833520545
276	0.2831675814
277	0.2829529139
278	0.2828286365
279	0.2826814747
280	0.2823986784
281	0.2819098992
282	0.2816175097
283	0.2813048284
284	0.2810883436
285	0.2809451389
286	0.2807996707
287	0.2806380294
288	0.2803020989
289	0.2801260157
290	0.2798456033
291	0.2794438938
292	0.2793018031
293	0.2790916581
294	0.2787935868
295	0.2786392599
296	0.2783307576
297	0.2781703217
298	0.2780285771
299	0.2778982142
300	0.2777557442
301	0.2775596335
302	0.2774596067
303	0.2773312865
304	0.2771672766
305	0.2770818483
306	0.2768157084
307	0.2766304035
308	0.2765149152
309	0.2762579302
310	0.2759115503
311	0.2757174642
312	0.275504429
313	0.2753375916
314	0.2752405062
315	0.2750660694
316	0.2749284354
317	0.2748215454
318	0.2744769023
319	0.2742974616
320	0.2741111311
321	0.2739195536
322	0.2736819605
323	0.2733427355
324	0.273170374
325	0.273031867
326	0.2728725832
327	0.2727346636
328	0.2725626899
329	0.2723618829
330	0.2720569016
331	0.2718928309
332	0.2715339785
333	0.2714422226
334	0.2710888854
335	0.2709505265
336	0.2708295304
337	0.2705047522
338	0.2701903627
339	0.2700517794
340	0.2698900506
341	0.2697587785
342	0.2696790725
343	0.2693717179
344	0.2692731892
345	0.2690926383
346	0.2689335137
347	0.2687551154
348	0.2686300219
349	0.2684469426
350	0.2682763298
351	0.2681325951
352	0.2678248053
353	0.2676931562
354	0.2676069439
355	0.2674488293
356	0.2673156546
357	0.2671511923
358	0.2670668094
359	0.2669619675
360	0.2668795687
361	0.2667282553
362	0.2666145981
363	0.2663462989
364	0.2662605579
365	0.2660379323
366	0.2658668994
367	0.265678218
368	0.2655099648
369	0.2653934152
370	0.2652314878
371	0.2651046315
372	0.2648007575
373	0.2646283833
374	0.2644512474
375	0.2643357462
376	0.2642792034
377	0.2641324427
378	0.263987815
379	0.2638354895
380	0.2636090409
381	0.2626376332
382	0.2623885888
383	0.2621684737
384	0.2620353702
385	0.2619681523
386	0.2618749022
387	0.2616236344
388	0.261420581
389	0.2613006063
390	0.2612479481
391	0.2611210415
392	0.2609658282
393	0.2608794304
394	0.2607262368
395	0.2605810008
396	0.2604430488
397	0.2602920446
398	0.2601474532
399	0.2600140715
400	0.2598565119
401	0.2597581489
402	0.2596215255
403	0.2594732432
404	0.2593352842
405	0.2592318469
406	0.2591357497
407	0.2590427959
408	0.2588703945
409	0.2587703401
410	0.2586056011
411	0.258559252
412	0.2582904776
413	0.2580550184
414	0.257951598
415	0.2578343751
416	0.2576956792
417	0.2574589228
418	0.2572179539
419	0.2568874479
420	0.2567891243
421	0.2566572056
422	0.2564894521
423	0.2563963431
424	0.2562408989
425	0.2561715271
426	0.2559932675
427	0.2557688612
428	0.2556182128
429	0.2555113396
430	0.2553055705
431	0.2551918531
432	0.2550505497
433	0.254963827
434	0.254867656
435	0.2547395627
436	0.2545976789
437	0.2543450091
438	0.2540851732
439	0.2539527279
440	0.2537765436
441	0.2536306
442	0.2535563942
443	0.2534376509
444	0.2532959031
445	0.2531369031
446	0.2529608053
447	0.2527492283
448	0.2526011364
449	0.252373237
450	0.252088069
451	0.2519579104
452	0.2518222356
453	0.2517072747
454	0.2516222246
455	0.2515626141
456	0.2514198982
457	0.2512881065
458	0.2511073056
459	0.2509736725
460	0.2507783254
461	0.2505651826
462	0.2504678721
463	0.2503021056
464	0.2502290723
465	0.2500961064
466	0.2499272557
467	0.2498058674
468	0.2495389801
469	0.2493968394
470	0.2491464167
471	0.2490653161
472	0.2489634455
473	0.2488346285
474	0.2487185437
475	0.2485798166
476	0.2484230688
477	0.2483063941
478	0.2480825994
479	0.2478945118
480	0.2478015471
481	0.247673308
482	0.2475315929
483	0.2473566119
484	0.2472265246
485	0.2471259109
486	0.2469160033
487	0.2468243465
488	0.2466833669
489	0.2465115927
490	0.2463663858
491	0.2461471465
492	0.2460507719
493	0.2458775749
494	0.245665173
495	0.2454978149
496	0.2453739344
497	0.2452673602
498	0.2451693085
499	0.2449967681
500	0.2448887187
501	0.2447825484
502	0.2446313672
503	0.2444198292
504	0.2442645726
505	0.2441352848
506	0.2440124866
507	0.2438228783
508	0.2437363146
509	0.2436309083
510	0.2434640739
511	0.2433441125
512	0.2432378118
513	0.2431098393
514	0.2429977167
515	0.2428723025
516	0.2427578401
517	0.2426071354
518	0.2424761081
519	0.2423262815
520	0.2422162606
521	0.2421162196
522	0.2419389854
523	0.241791676
524	0.241715678
525	0.2415688306
526	0.2414566964
527	0.2413429432
528	0.2411469067
529	0.2410127705
530	0.2408786491
531	0.2407516901
532	0.2406100471
533	0.2404961411
534	0.2403665035
535	0.2402668818
536	0.2401969594
537	0.2400435981
538	0.2399305921
539	0.2398832569
540	0.2397554226
541	0.2395784359
542	0.2394293356
543	0.2392764086
544	0.2392210544
545	0.2391114968
546	0.2389977114
547	0.2389258589
548	0.2387714252
549	0.2386450792
550	0.2385427163
551	0.2384624442
552	0.2383855851
553	0.2382839876
554	0.2381656675
555	0.2380383543
556	0.2379125784
557	0.2377738381
558	0.2376575739
559	0.2375318083
560	0.2373366443
561	0.2372558193
562	0.2370588229
563	0.2369726069
564	0.2368182561
565	0.2366620624
566	0.2365691172
567	0.2363837115
568	0.2362977598
569	0.2361932975
570	0.2360927182
571	0.2358514298
572	0.235749823
573	0.2356405154
574	0.235534323
575	0.2354688773
576	0.2353353843
577	0.2352416295
578	0.2351076145
579	0.2348319521
580	0.2347105714
581	0.2346185248
582	0.2345137374
583	0.2344712028
584	0.2343705468
585	0.2342077113
586	0.2340825355
587	0.2340022278
588	0.2339059631
589	0.2338172344
590	0.2335913903
591	0.2334790102
592	0.2333770148
593	0.2332790744
594	0.2330191668
595	0.2329373502
596	0.2327979853
597	0.2326928989
598	0.2325891919
599	0.2324894982
600	0.2323556162
601	0.2321906686
602	0.2321042018
603	0.2319619548
604	0.2317785723
605	0.2316755515
606	0.2314819583
607	0.2313133841
608	0.2311839575
609	0.2310159901
610	0.2309025758
611	0.2307591972
612	0.2306689442
613	0.2305774412
614	0.2304108077
615	0.2303268863
616	0.2302658498
617	0.2300921279
618	0.2299495538
619	0.2297885262
620	0.2296770909
621	0.2295231515
622	0.2293922825
623	0.229310855
624	0.2291849349
625	0.2291279309
626	0.2289987524
627	0.2288705673
628	0.228742514
629	0.2286848177
630	0.2285473797
631	0.2284472463
632	0.228378676
633	0.2282628577
634	0.228145377
635	0.2280219836
636	0.2278981729
637	0.2277810271
638	0.2276809841
639	0.2275676343
640	0.2275063079
641	0.2273434851
642	0.2271412059
643	0.2270480582
644	0.2269766276
645	0.2268583945
646	0.2267606986
647	0.2266724417
648	0.2265592262
649	0.2264903164
650	0.2264222126
651	0.2263169917
652	0.2262524214
653	0.2261440822
654	0.2259434504
655	0.2258604955
656	0.2254511234
657	0.2253712783
658	0.2252256055
659	0.2249723922
660	0.2248847197
661	0.2248125397
662	0.2246678861
663	0.2244828301
664	0.2243992794
665	0.2243168284
666	0.2242549041
667	0.2241853515
668	0.2240861315
669	0.2239963996
670	0.2238971336
671	0.2237962728
672	0.223665672
673	0.2235458037
674	0.2233859519
675	0.2232767421
676	0.2230767767
677	0.2229189889
678	0.2228284378
679	0.2226781329
680	0.2226008336
681	0.2225035616
682	0.2224284136
683	0.2223413549
684	0.2222174804
685	0.2220709806
686	0.222019702
687	0.2219418296
688	0.2217780232
689	0.2216806682
690	0.2214925501
691	0.2213429874
692	0.2212901949
693	0.2211427202
694	0.2210261379
695	0.2208724393
696	0.2208034153
697	0.2206911106
698	0.2205824502
699	0.2204569459
700	0.2198920741
701	0.2197987637
702	0.2196510981
703	0.2195257437
704	0.2194143825
705	0.2193396782
706	0.2192469269
707	0.2191730755
708	0.2190312011
709	0.2189214187
710	0.2187904777
711	0.2186991425
712	0.2186275835
713	0.2185291331
714	0.2183943921
715	0.2183036079
716	0.2181587467
717	0.2180305607
718	0.2178944151
719	0.217733861
720	0.2175728538
721	0.2175034085
722	0.2174467689
723	0.2173589672
724	0.2172720609
725	0.2171616257
726	0.2170974987
727	0.2169988623
728	0.2169100699
729	0.2167881879
730	0.216630312
731	0.2165514272
732	0.2164291325
733	0.2163472603
734	0.2162425401
735	0.2161180707
736	0.2160096143
737	0.2159769798
738	0.2158586133
739	0.2157850569
740	0.2156889394
741	0.2155262538
742	0.2154301041
743	0.2153244415
744	0.2152685442
745	0.2151700466
746	0.215059938
747	0.2149509522
748	0.2148675115
749	0.2147801895
750	0.2146901463
751	0.2145485222
752	0.2144174854
753	0.2143493169
754	0.2142374755
755	0.2141671897
756	0.214000797
757	0.2138464697
758	0.2136730942
759	0.2136190426
760	0.2135015942
761	0.2134301252
762	0.2133798152
763	0.2132093257
764	0.2131405001
765	0.2130498692
766	0.2129958595
767	0.2129021973
768	0.2127961763
769	0.2126745066
770	0.2125823612
771	0.2125227541
772	0.2124331207
773	0.2123123261
774	0.2121609051
775	0.2120769771
776	0.2119946394
777	0.211895021
778	0.2117878922
779	0.2117109062
780	0.2115167407
781	0.2114668362
782	0.2113659954
783	0.2112693563
784	0.2112040014
785	0.2111477061
786	0.2110945076
787	0.211040566
788	0.2109694837
789	0.2109141178
790	0.2107970891
791	0.2106724123
792	0.2105387586
793	0.2104314501
794	0.2103262452
795	0.2102371419
796	0.2101464028
797	0.2100751177
798	0.2099837454
799	0.2099166756
800	0.2095984358
801	0.2094779701
802	0.2093963339
803	0.20933238
804	0.20920287
805	0.2090920202
806	0.2090307282
807	0.2089638865
808	0.2089195578
809	0.2088433289
810	0.2087480008
811	0.2086456843
812	0.2085644638
813	0.2084416138
814	0.2083553355
815	0.208208203
816	0.2080636394
817	0.2079357154
818	0.2078156513
819	0.2077096778
820	0.2076142787
821	0.2074896164
822	0.2074498681
823	0.2073417963
824	0.207245208
825	0.2071122328
826	0.2069861351
827	0.2068884538
828	0.2067920652
829	0.2067006185
830	0.2065960482
831	0.2065328658
832	0.2064213376
833	0.2063319591
834	0.2062562499
835	0.2061447249
836	0.2060405568
837	0.2059522963
838	0.2058643904
839	0.2057810921
840	0.2056774226
841	0.2055591586
842	0.2054955706
843	0.2053810243
844	0.2053030492
845	0.2051818619
846	0.2051130367
847	0.2050539985
848	0.204942294
849	0.2048648655
850	0.2046856441
851	0.2046240304
852	0.2045497473
853	0.2044349526
854	0.204332814
855	0.2042808102
856	0.2041841838
857	0.2040995038
858	0.2040429355
859	0.2039989122
860	0.2039582199
861	0.203883054
862	0.2037946329
863	0.2037286139
864	0.2036721807
865	0.203547771
866	0.2034493403
867	0.2033263908
868	0.2032446906
869	0.2031998856
870	0.2031400439
871	0.2030805054
872	0.2030277883
873	0.2029408919
874	0.2028639779
875	0.2027678324
876	0.2026973523
877	0.2025519267
878	0.2024918458
879	0.2024299524
880	0.202327165
881	0.2022183493
882	0.2020974801
883	0.2020011036
884	0.2018668534
885	0.2017655031
886	0.2016503999
887	0.2015725065
888	0.2014591782
889	0.2013845762
890	0.2012944549
891	0.2011682798
892	0.2010581181
893	0.2007107868
894	0.2006233009
895	0.2005116538
896	0.2004637867
897	0.2003596667
898	0.2002948701
899	0.2002386826
900	0.2001336985
901	0.2000611724
902	0.1999658663
903	0.1998751311
904	0.1998116562
905	0.1997211658
906	0.1996231665
907	0.1995464762
908	0.1994337666
909	0.1993565134
910	0.1992887253
911	0.1991771491
912	0.1991013584
913	0.199025752
914	0.198946922
915	0.1988449834
916	0.1987373318
917	0.1986397509
918	0.1985123008
919	0.1984439765
920	0.198377591
921	0.1983096827
922	0.1981904503
923	0.1980714669
924	0.1979826749
925	0.1978827812
926	0.1978064644
927	0.1976514104
928	0.1975634694
929	0.1974604516
930	0.1974001695
931	0.1973066589
932	0.1972422865
933	0.1971522441
934	0.1970762401
935	0.1969812431
936	0.1969080758
937	0.1968079368
938	0.1967450248
939	0.1967157978
940	0.196648923
941	0.1965734381
942	0.1965093008
943	0.1963685345
944	0.1960819412
945	0.1959917376
946	0.1959375225
947	0.195852158
948	0.1957465254
949	0.1956595449
950	0.1955509618
951	0.1955075421
952	0.195438569
953	0.1953587528
954	0.1953209672
955	0.1952493607
956	0.1951466175
957	0.1950374301
958	0.1949558912
959	0.1949150729
960	0.1948614137
961	0.1947890442
962	0.1947561446
963	0.1946529211
964	0.1945365307
965	0.1944747562
966	0.1943381244
967	0.194195768
968	0.1941026651
969	0.194043346
970	0.1939905284
971	0.1938982425
972	0.1937907853
973	0.1937197049
974	0.1936233983
975	0.1935086373
976	0.1934375005
977	0.1933371044
978	0.1932494027
979	0.1931669961
980	0.1931269984
981	0.1930162102
982	0.1929055362
983	0.1928296115
984	0.1927621148
985	0.1927200868
986	0.192663582
987	0.1925632801
988	0.1924888729
989	0.1923932926
990	0.1923254809
991	0.1922697355
992	0.1921734653
993	0.1920768285
994	0.1919800633
995	0.1918880016
996	0.1918057672
997	0.191691491
998	0.1916104352
999	0.1915326015
