Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.870278943470748,0.7792408985282726,0.5677200902934537,0.6568723473718576
Random Forest,0.9338434954332263,0.9753846153846154,0.7155756207674944,0.8255208333333334
XGBoost,0.9231054060725746,0.8397397989355411,0.801354401805869,0.8200981807681201
CatBoost,0.9226117008146136,0.8455039227519614,0.7906320541760722,0.8171478565179353
